cluster,grouping_name,country,explanation
0,Resource-driven / protected markets,"['Georgia', 'Iran, Islamic Republic of', 'Iraq', 'Kyrgyzstan', ""Lao People's Democratic Republic"", 'Lebanon', 'Libya', 'Moldova, Republic of', 'Armenia', 'Nepal', 'Albania', 'North Macedonia']","Economies with heavy reliance on commodities, lower openness to trade, often with protectionist regimes or sanctions."
1,"Low-income, aid-dependent markets","['Belarus', 'Cameroon', 'Cuba', 'Djibouti', 'Madagascar', 'Nicaragua', 'Paraguay', 'Bolivia, Plurinational State of', 'Turkmenistan', 'Venezuela, Bolivarian Republic of']","Low GDP per capita, fragmented imports, dependent on few categories (food, fuels), weak integration into global trade."
2,Small island & minor economies,"['Burundi', 'Cabo Verde', 'Cayman Islands', 'Central African Republic', 'Chad', 'Comoros', 'Cook Islands', 'Andorra', 'Dominica', 'Equatorial Guinea', 'Gambia', 'Palestine, State of', 'Antigua and Barbuda', 'Gibraltar', 'Greenland', 'Grenada', 'Haiti', 'Lesotho', 'Curaçao', 'Aruba', 'Sint Maarten (Dutch part)', 'Vanuatu', 'Niger', 'Marshall Islands', 'Bermuda', 'Guinea-Bissau', 'Timor-Leste', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Seychelles', 'Somalia', 'South Sudan', 'Tonga', 'Turks and Caicos Islands', 'Samoa', 'Solomon Islands', 'Virgin Islands, British']","Small scale, concentrated imports, often high reliance on a few trade partners or re-export hubs."
3,Frontier & emerging Africa / LatAm,"['Cambodia', 'Congo, The Democratic Republic of the', 'Dominican Republic', 'El Salvador', 'Ethiopia', 'Angola', 'Ghana', 'Honduras', ""Côte d'Ivoire"", 'Bahamas', 'Mauritius', 'Mozambique', 'Namibia', 'Panama', 'Senegal', 'Zimbabwe', 'Botswana', 'Uganda', 'Tanzania, United Republic of', 'Zambia']","Diversifying imports, some growth momentum, but not yet fully integrated into global value chains."
4,Middle-income developing Asia / MENA,"['Myanmar', 'Algeria', 'Sri Lanka', 'Costa Rica', 'Ecuador', 'Azerbaijan', 'Guatemala', 'Iceland', 'Jordan', 'Kenya', 'Bahrain', 'Bangladesh', 'Morocco', 'New Zealand', 'Nigeria', 'Peru', 'Qatar', 'Bosnia and Herzegovina', 'Tunisia', 'Uruguay']","Medium-large economies, diversified imports, mix of industrial and consumer goods, faster CAGR."
5,Small open advanced economies,"['Fiji', 'French Polynesia', 'Gabon', 'Guyana', 'Jamaica', 'Macao', 'Maldives', 'Montenegro', 'Barbados', 'New Caledonia', 'Papua New Guinea', 'Suriname', 'Eswatini', 'Trinidad and Tobago', 'Belize', 'Brunei Darussalam']","Small size but highly open, sophisticated demand structure, often hubs for trade/finance."
6,Advanced industrial economies,"['Bulgaria', 'Canada', 'China', 'Czechia', 'Denmark', 'Finland', '251', 'Germany', 'Greece', 'Hong Kong', 'Hungary', 'Australia', 'Indonesia', 'Ireland', 'Italy', 'Japan', 'Austria', 'Korea, Republic of', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', '490', 'Netherlands', 'Belgium', '579', 'Poland', 'Portugal', 'Romania', 'Russian Federation', 'Saudi Arabia', '699', 'Singapore', 'Slovakia', 'Viet Nam', 'Slovenia', 'South Africa', 'Spain', 'Sweden', '757', 'Brazil', 'Thailand', 'United Arab Emirates', 'Türkiye', 'United Kingdom', '842']","Large diversified importers, high openness, mature industrial base, strong signals for complex goods."
7,Middle-income transition economies,"['Congo', 'Benin', 'Guinea', 'Afghanistan', 'Liberia', 'Malawi', 'Mali', 'Mauritania', 'Mongolia', 'Bhutan', 'Rwanda', 'Sierra Leone', 'Sudan', 'Syrian Arab Republic', 'Tajikistan', 'Togo', 'Burkina Faso', 'Yemen']","Resource-exporters but with growing consumer demand, imports mix raw materials + industrial."
8,Small peripheral states,"['American Samoa', 'Christmas Island', 'Cocos (Keeling) Islands', 'Eritrea', 'Falkland Islands (Malvinas)', 'French Southern Territories', 'Kiribati', 'Guam', ""Korea, Democratic People's Republic of"", 'Montserrat', 'Nauru', 'Bonaire, Sint Eustatius and Saba', 'Niue', 'Norfolk Island', 'Northern Mariana Islands', 'Micronesia, Federated States of', 'Palau', 'Pitcairn', 'Saint Barthélemy', 'Saint Helena, Ascension and Tristan da Cunha', 'Anguilla', 'Saint Pierre and Miquelon', 'San Marino', 'Sao Tome and Principe', 'Tokelau', 'Tuvalu', 'British Indian Ocean Territory', 'Wallis and Futuna']","Small population, high per-capita imports, strong dependence on a few supply lines."
9,Dynamic mid-sized economies,"['Chile', 'Colombia', 'Croatia', 'Cyprus', 'Estonia', 'Argentina', 'Israel', 'Kazakhstan', 'Kuwait', 'Latvia', 'Malta', 'Oman', 'Pakistan', 'Philippines', 'Serbia', 'Ukraine', 'Egypt', 'Uzbekistan']","Relatively fast import growth, diversified profile, active integration into global supply chains, often seen as “bridge” economies."
